一个	ggwh
陈水扁	biyn
是因为	jlyl
古希腊	dqea
希特勒	qtaf
四川省	lkit
山海关	miud
微生物	tttr
翰林院	fsbp
亚运会	gfwf
一路上	gkhh
催化剂	wwyj
社会主义	pwyy
有限公司	dbwn
帝国主义	ulyy
资本主义	usyy
资产阶级	uubx
高速公路	ygwk
无产阶级	fubx
澳大利亚	idtg
辛亥革命	uyaw
知识分子	tywb
八国联军	wlbp
哈哈大笑	kkdt
计划生育	yaty
也就是说	byjy
无论如何	fyvw
名胜古迹	qedy
绝大多数	xdqo
巴基斯坦	caaf
工人阶级	awbx
绝大部分	xduw
大展宏图	dnpl
大吃一惊	dkgn
五四运动	glff
九曲回肠	vmle
共产主义	auyy
实事求是	pgfj
共产党员	auik
成吉思汗	dfli
巴勒斯坦	caaf
不好意思	gvul
中华民国	kwnl
马来西亚	cgsg
名副其实	qgap
清清楚楚	iiss
操作系统	rwtx
各种各样	ttts
胡说八道	dywu
浩浩荡荡	iiaa
前所未有	urfd
苏格拉底	asry
长治久安	tiqp
无可奈何	fsdw
南斯拉夫	farf
四通八达	lcwd
不知不觉	gtgi
莫名其妙	aqav
引人注目	xwih
四面八方	ldwy
成千上万	dthd
航空母舰	tpxt
比比皆是	xxxj
焕然一新	oqgu
独立自主	quty
统治阶级	xibx
爱因斯坦	elaf
罗马尼亚	lcng
文责自负	ygtq
一模一样	gsgs
黑龙江省	ldii
山珍海味	mgik
二氧化碳	frwd
民族主义	nyyy
中产阶级	kubx
西伯利亚	swtg
五星红旗	gjxy
冲积平原	utgd
不由自主	gmty
非同小可	dmis
现实主义	gpyy
鸦片战争	athq
亚历山大	gdmd
流芳百世	iada
委内瑞拉	tmgr
神来之笔	pgpt
干干净净	ffuu
同工同酬	mams
截然不同	fqgm
爱国主义	elyy
一动不动	gfgf
小心翼翼	innn
通货膨胀	cwee
意识形态	uygd
拨乱反正	rtrg
保加利亚	wltg
波罗的海	ilri
大大小小	ddii
咬牙切齿	kaah
至关重要	guts
人际关系	wbut
可想而知	ssdt
除此之外	bhpq
法兰克福	iudp
实实在在	ppdd
不动声色	gffq
股份公司	ewwn
一国两制	glgr
必不可少	ngsi
目瞪口呆	hhkk
大街小巷	dtia
穆罕默德	tplt
不可思议	gsly
拉丁美洲	rsui
尼日利亚	njtg
乌鲁木齐	qqsy
至高无上	gyfh
轰轰烈烈	llgg
千方百计	tydy
恭恭敬敬	aaaa
一言不发	gygn
自然而然	tqdq
哥伦比亚	swxg
十月革命	feaw
与众不同	gwgm
唯物主义	ktyy
艰苦奋斗	cadu
自言自语	tyty
众星捧月	wjre
名列前茅	qgua
九五之尊	vgpu
息息相关	ttsu
面面相觑	ddsh
肆无忌惮	dfnn
不约而同	gxdm
全心全意	wnwu
总工程师	uatj
得天独厚	tgqd
金碧辉煌	qgio
一成不变	gdgy
断断续续	ooxx
独树一帜	qsgm
马列主义	cgyy
理所当然	griq
阿弥陀佛	bxbw
接连不断	rlgo
耶路撒冷	bkru
五角大楼	gqds
耀武扬威	igrd
人道主义	wuyy
声势浩大	frid
恍然大悟	nqdn
或多或少	aqai
中流砥柱	kids
唯心主义	knyy
圣彼得堡	cttw
众所周知	wrmt
情不自禁	ngts
多种多样	qtqs
换句话说	rqyy
挺身而出	rtdb
自由主义	tmyy
克罗地亚	dlfg
惊心动魄	nnfr
所作所为	rwry
卧薪尝胆	aaie
生死存亡	tgdy
不在话下	gdyg
出奇制胜	bdre
平起平坐	gfgw
显而易见	jdjm
一清二楚	gifs
许许多多	yyqq
出其不意	bagu
马到成功	cgda
斯里兰卡	ajuh
不知所措	gtrr
迷迷糊糊	oooo
不以为然	gnyq
殖民主义	gnyy
当务之急	itpq
各家各户	tpty
依山傍水	wmwi
最后通牒	jrct
迫不及待	rget
垂帘听政	tpkg
有钱有势	dqdr
不计其数	gyao
南水北调	fiuy
死里逃生	gjit
一天到晚	gggj
各司其职	tnab
佛罗伦萨	wlwa
一拥而上	grdh
此起彼伏	hftw
手忙脚乱	rnet
光彩夺目	iedh
莎士比亚	afxg
有史以来	dkng
封建主义	fvyy
回味无穷	lkfp
荷枪实弹	aspx
不知去向	gtft
甲午战争	lthq
慷慨激昂	nnij
全军覆没	wpsi
兴高采烈	iyeg
独具一格	qhgs
丝绸之路	xxpk
出人意料	bwuo
新陈代谢	ubwy
不可一世	gsga
